127.0.0.1 - - [10/Oct/2021:20:58:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:58:33 +0900] "GET /jsp/index.jsp HTTP/1.1" 200 1897
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:58:33 +0900] "GET /jsp/resources/css/menubar-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:58:33 +0900] "GET /jsp/resources/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:58:33 +0900] "GET /jsp/resources/images/servlet-jsp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:58:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:58:37 +0900] "GET /jsp/login HTTP/1.1" 200 1931
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:58:37 +0900] "GET /jsp/resources/css/loginpage-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:58:42 +0900] "POST /jsp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:58:42 +0900] "GET /jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:58:42 +0900] "GET /jsp/ HTTP/1.1" 200 1904
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:58:47 +0900] "GET /jsp/memberModify HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:59:10 +0900] "POST /jsp/memberModify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:59:10 +0900] "GET /jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:59:10 +0900] "GET /jsp/ HTTP/1.1" 200 1987
